state_alpha,commodity_desc,year,Unnamed: 0,watershed_desc,begin_code,state_ansi,county_ansi,county_name,county_code,watershed_code,end_code,state_fips_code,asd_code,asd_desc,zip_5,country_code,week_ending,value,region_desc,congr_district_code
AK,BARLEY,2002,1867.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,BARLEY,2007,2135.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,BARLEY,2012,10176.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,47.7,,
AK,BARLEY,2017,15573.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,HAY,2002,2057.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,1.15,,
AK,HAY,2007,2329.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,0.95,,
AK,HAY,2012,10841.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,1.2,,
AK,HAY,2017,16163.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,1.05,,
AK,HAY & HAYLAGE,2018,16252.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,2.8,,
AK,HAYLAGE,2002,2127.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,1.3,,
AK,HAYLAGE,2007,2398.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,HAYLAGE,2012,11217.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,HAYLAGE,2017,16614.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,LETTUCE,2018,22380.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,258.0,,
AK,OATS,2002,2149.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,41.6,,
AK,OATS,2007,2418.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,OATS,2012,11323.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,62.9,,
AK,OATS,2017,16755.5,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,POTATOES,2002,2344.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,POTATOES,2018,22732.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,367.0,,
AK,SWEET CORN,2018,22863.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,134.0,,
AK,TOMATOES,2018,22960.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,159.0,,
AK,WHEAT,2012,11418.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,WHEAT,2017,16912.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AK,WHEAT,2018,16902.0,,0.0,2.0,,,,0.0,0.0,2.0,,,,9000.0,,,,
AL,BARLEY,2002,65.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,,,
AL,BARLEY,2012,152.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,18.8,,
AL,BARLEY,2017,168.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,47.0,,
AL,BEANS,2002,72.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,15.6,,
AL,BEANS,2012,179.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,,,
AL,CORN,2002,185.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,48.55,,
AL,CORN,2007,180.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,81.05000000000001,,
AL,CORN,2012,1100.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,96.35,,
AL,CORN,2017,1079.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,150.9,,
AL,CORN,2018,1034.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,216.0,,
AL,COTTON,2002,309.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,1.2,,
AL,COTTON,2007,303.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,1.1,,
AL,COTTON,2012,1702.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.0,,
AL,COTTON,2017,1690.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,1.8,,
AL,COTTON,2018,1648.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,,,
AL,HAY,2002,613.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.05,,
AL,HAY,2007,584.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,1.95,,
AL,HAY,2012,2761.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.2,,
AL,HAY,2017,2527.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.6,,
AL,HAY & HAYLAGE,2018,2732.5,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,4.0,,
AL,HAYLAGE,2002,763.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,3.7,,
AL,HAYLAGE,2007,730.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.3499999999999996,,
AL,HAYLAGE,2012,3463.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,3.5,,
AL,HAYLAGE,2017,3241.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,2.2,,
AL,OATS,2002,802.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,38.45,,
AL,OATS,2007,768.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,56.6,,
AL,OATS,2012,3732.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,,,
AL,OATS,2017,3503.0,,0.0,1.0,,,,0.0,0.0,1.0,,,,9000.0,,56.4,,
